SetEntrenamiento,SetTesting,Resultados,Método,Vecinos,Numero de iteraciones,Alfa,Epsilon,Tiempo,Accuracy,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,Folds
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-1-vecinos-resultados.csv,0,1,,,,168266.0,0.9220238095238096,0.9287,0.933,0.9576,0.9579,0.9084,0.8984,0.9089,0.9064,0.9278,0.8955,0.9612,0.9027,0.9197,0.8835,0.9418,0.9116,0.9498,0.9582,0.886,0.9105,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-51-vecinos-resultados.csv,0,51,,,,173749.0,0.9126190476190476,0.8932,0.8554,0.9736,0.9563,0.9544,0.9111,0.8791,0.9279,0.9421,0.8657,0.9424,0.9719,0.8603,0.8979,0.9266,0.905,0.9266,0.9473,0.8158,0.9228,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-101-vecinos-resultados.csv,0,101,,,,11331.3,0.842,0.8663,0.7195,0.9776,0.924,0.8922,0.8172,0.8326,0.8835,0.9394,0.7692,0.8838,0.9883,0.712,0.798,0.8514,0.8172,0.8524,0.9381,0.6526,0.8654,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-151-vecinos-resultados.csv,0,151,,,,12389.4,0.8175,0.8614,0.6571,0.976,0.9059,0.8683,0.8193,0.8224,0.8708,0.9141,0.7521,0.8788,0.9844,0.663,0.7778,0.8286,0.7312,0.8381,0.9381,0.6158,0.8462,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-201-vecinos-resultados.csv,0,201,,,,13359.7,0.8,0.8731,0.6141,0.9667,0.8876,0.872,0.8148,0.8057,0.8571,0.9076,0.7458,0.8687,0.9844,0.6304,0.7576,0.8171,0.7097,0.8095,0.9278,0.5684,0.8462,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-251-vecinos-resultados.csv,0,251,,,,14224.6,0.786,0.8586,0.5911,0.964,0.8862,0.8634,0.8012,0.8029,0.8531,0.8833,0.7362,0.8586,0.9844,0.5815,0.7475,0.7943,0.6935,0.7952,0.9278,0.5579,0.8317,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-301-vecinos-resultados.csv,0,301,,,,15091.0,0.7715,0.8622,0.5592,0.9636,0.8827,0.8447,0.8026,0.798,0.8627,0.8718,0.7197,0.8535,0.9922,0.5761,0.7222,0.7771,0.6559,0.7714,0.9072,0.5368,0.8269,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-351-vecinos-resultados.csv,0,351,,,,16158.6,0.7615,0.8601,0.546,0.9717,0.8868,0.8221,0.8054,0.7854,0.8389,0.8661,0.7191,0.8384,0.9922,0.5598,0.7121,0.7657,0.6452,0.7667,0.9124,0.5105,0.8125,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-401-vecinos-resultados.csv,0,401,,,,16393.0,0.7495,0.8624,0.528,0.9712,0.8642,0.8228,0.8112,0.7685,0.8389,0.8532,0.7059,0.8232,0.9922,0.5489,0.7071,0.7429,0.6237,0.7429,0.9124,0.4895,0.8077,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-451-vecinos-resultados.csv,0,451,,,,17896.7,0.738,0.867,0.506,0.9703,0.8688,0.8012,0.8148,0.7739,0.831,0.8416,0.6975,0.8232,0.9922,0.5326,0.702,0.7371,0.5914,0.7333,0.9124,0.4474,0.7981,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-501-vecinos-resultados.csv,0,501,,,,18469.2,0.7295,0.8656,0.4913,0.9691,0.8718,0.805,0.8154,0.7677,0.8233,0.8333,0.6933,0.8131,0.9922,0.5109,0.6869,0.7314,0.5699,0.7238,0.9124,0.4474,0.7933,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-551-vecinos-resultados.csv,0,551,,,,19406.1,0.72,0.8602,0.4775,0.9681,0.871,0.7938,0.8211,0.7602,0.8194,0.8469,0.6807,0.8081,0.9922,0.4946,0.6818,0.7257,0.543,0.7095,0.9124,0.4368,0.7788,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-601-vecinos-resultados.csv,0,601,,,,20223.4,0.7085,0.8649,0.467,0.9674,0.8418,0.7862,0.8,0.7526,0.8194,0.8265,0.6709,0.8081,0.9922,0.4837,0.6717,0.7143,0.4946,0.6952,0.9124,0.4263,0.7644,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-651-vecinos-resultados.csv,0,651,,,,20527.9,0.699,0.8626,0.4513,0.9663,0.8377,0.7871,0.8036,0.7487,0.8157,0.8247,0.6681,0.7929,0.9922,0.4674,0.6515,0.6971,0.4839,0.681,0.9124,0.4211,0.7644,5.0
./Data/5_fold-SET-1-train.csv,./Data/5_fold-SET-1-validate.csv,./resultados/5_fold-SET-1-701-vecinos-resultados.csv,0,701,,,,21403.4,0.69,0.8525,0.445,0.9647,0.8205,0.7806,0.8037,0.7263,0.8165,0.8144,0.6653,0.7879,0.9922,0.4457,0.6465,0.6914,0.4624,0.6571,0.9175,0.4158,0.7548,5.0
